Tarih;Saat;Consumption
13.05.2021;06:00;21755.67
13.05.2021;07:00;22295.28
13.05.2021;08:00;23140.15
13.05.2021;09:00;24267.63
13.05.2021;10:00;25121.04
13.05.2021;11:00;25538.74
13.05.2021;12:00;25423.89
13.05.2021;13:00;25462.56
13.05.2021;14:00;25139.95
13.05.2021;15:00;24728.19
13.05.2021;16:00;24686.75
13.05.2021;17:00;24906.19
13.05.2021;18:00;25139.65
13.05.2021;19:00;26397.71
13.05.2021;20:00;28367.61
13.05.2021;21:00;28230.74
13.05.2021;22:00;27712.8
13.05.2021;23:00;26790.24
14.05.2021;00:00;25684.84
14.05.2021;01:00;24226.54
14.05.2021;02:00;23251.93
14.05.2021;03:00;22624.02
14.05.2021;04:00;22222.19
14.05.2021;05:00;21503.05
14.05.2021;06:00;20552.53
14.05.2021;07:00;21312.5
14.05.2021;08:00;23220.08
14.05.2021;09:00;25072.43
14.05.2021;10:00;26785.37
14.05.2021;11:00;27992.52
14.05.2021;12:00;28388.15
14.05.2021;13:00;28473.31
14.05.2021;14:00;28306.64
14.05.2021;15:00;27851.46
14.05.2021;16:00;27609
14.05.2021;17:00;27428.4
14.05.2021;18:00;27494.39
14.05.2021;19:00;28328.47
14.05.2021;20:00;30155.15
14.05.2021;21:00;29836.16
14.05.2021;22:00;29050.9
14.05.2021;23:00;28082.85
15.05.2021;00:00;26722.49
15.05.2021;01:00;25512.62
15.05.2021;02:00;24372.96
15.05.2021;03:00;23785.45
15.05.2021;04:00;23424.77
15.05.2021;05:00;22421.32
15.05.2021;06:00;21572.3
15.05.2021;07:00;22424.35
15.05.2021;08:00;24443.64
15.05.2021;09:00;26090.61
15.05.2021;10:00;27753.37
15.05.2021;11:00;29002.8
15.05.2021;12:00;29418.91
15.05.2021;13:00;29849.84
15.05.2021;14:00;29739.28
15.05.2021;15:00;29220.14
15.05.2021;16:00;28766.11
15.05.2021;17:00;28635.63
15.05.2021;18:00;28831.86
15.05.2021;19:00;29437.8
15.05.2021;20:00;31388.57
15.05.2021;21:00;30830.89
15.05.2021;22:00;29978.43
15.05.2021;23:00;28964.74
16.05.2021;00:00;27721.51
16.05.2021;01:00;26422.26
16.05.2021;02:00;25326.96
16.05.2021;03:00;24599.47
16.05.2021;04:00;24256.93
16.05.2021;05:00;23168.72
16.05.2021;06:00;22320.93
16.05.2021;07:00;23360.2
16.05.2021;08:00;25144.83
16.05.2021;09:00;26831.44
16.05.2021;10:00;28721.27
16.05.2021;11:00;29903.87
16.05.2021;12:00;30319.47
16.05.2021;13:00;30867.99
16.05.2021;14:00;31014.92
16.05.2021;15:00;30559.88
16.05.2021;16:00;30114.21
16.05.2021;17:00;29784.15
16.05.2021;18:00;29768.13
16.05.2021;19:00;30680.66
16.05.2021;20:00;32558.25
16.05.2021;21:00;32135.67
